Timestamp,Event,Temperature,Pressure,Altitude,Humidity,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Latitude,Longitude,DateTime
104,[INFO] Rocket initialized
111,[INFO] Initializing sensors...
5000,[STATE] WAKING_UP
10000,[STATE] CHECKING_ROCKET
10004,[INFO] Checking sensors...
10009,[INFO] Reading BME280 sensor...
10018,[INFO] BME280 sensor OK
10023,[INFO] Reading MPU6050 sensor...
10030,[INFO] MPU6050 sensor OK
10035,[INFO] Reading GPS sensor...
310040,[ERROR] Failed to read GPS sensor
310045,[STATE] ERROR
315045,[STATE] IDLE
320045,[STATE] WAKING_UP
325045,[STATE] CHECKING_ROCKET
325049,[INFO] Checking sensors...
325053,[INFO] Reading BME280 sensor...
325063,[INFO] BME280 sensor OK
325067,[INFO] Reading MPU6050 sensor...
325075,[INFO] MPU6050 sensor OK
325079,[INFO] Reading GPS sensor...
578245,[INFO] GPS sensor OK
578249,[INFO] Sensors OK
578253,SensorData,21.27,938.83,638.91,53.90,6.84,-1.20,6.94,-1.84,3.50,2.16,40.301548,-3.837830,3/3/2025 17:13:58
578259,[STATE] WAITING_FOR_LAUNCH
588259,[STATE] FLIGHT
588284,SensorData,21.29,938.95,637.86,47.54,6.49,-2.09,7.30,-1.34,1.03,1.91,40.301548,-3.837830,3/3/2025 17:13:58
588418,SensorData,21.29,938.96,637.77,47.54,6.47,-2.05,7.29,-0.94,3.44,2.37,40.301548,-3.837830,3/3/2025 17:13:58
588462,SensorData,21.28,938.94,637.91,47.55,5.91,-1.68,8.07,-0.49,4.29,2.37,40.301548,-3.837830,3/3/2025 17:13:58
588536,SensorData,21.28,938.95,637.86,47.56,6.70,-1.73,6.95,-0.82,4.07,2.45,40.301548,-3.837830,3/3/2025 17:13:58
588600,SensorData,21.29,938.92,638.05,47.56,6.83,-2.34,6.31,0.39,4.17,2.41,40.301548,-3.837830,3/3/2025 17:13:58
588666,SensorData,21.28,938.96,637.72,47.55,6.53,-2.14,7.16,-1.90,-1.20,1.02,40.301548,-3.837830,3/3/2025 17:13:58
588730,SensorData,21.29,938.96,637.69,47.58,6.17,-2.00,7.70,-1.56,-1.55,0.89,40.301548,-3.837830,3/3/2025 17:13:58
588804,SensorData,21.28,938.94,637.92,47.55,6.97,-1.37,7.02,0.51,7.98,3.96,40.301548,-3.837830,3/3/2025 17:13:58
588838,SensorData,21.29,938.98,637.59,47.56,6.42,-2.11,7.26,-0.45,-1.05,1.68,40.301548,-3.837830,3/3/2025 17:13:58
588884,SensorData,21.28,938.95,637.85,47.66,6.41,-1.79,7.28,-0.68,5.92,2.75,40.301548,-3.837830,3/3/2025 17:13:58
589247,SensorData,21.28,938.94,637.93,47.86,6.20,-1.72,7.96,-1.44,-1.02,1.69,40.301525,-3.837834,3/3/2025 17:14:9
589281,SensorData,21.28,938.93,637.99,47.61,6.38,-1.90,7.38,-1.13,2.21,2.13,40.301525,-3.837834,3/3/2025 17:14:9
589365,SensorData,21.28,938.93,637.99,47.58,6.38,-2.11,7.37,-1.15,2.16,2.04,40.301525,-3.837834,3/3/2025 17:14:9
589409,SensorData,21.28,938.95,637.79,47.59,6.34,-2.03,7.62,-0.52,3.28,2.34,40.301525,-3.837834,3/3/2025 17:14:9
589464,SensorData,21.29,938.95,637.84,47.60,6.47,-1.88,7.31,-1.21,2.49,2.04,40.301525,-3.837834,3/3/2025 17:14:9
589538,SensorData,21.28,938.95,637.85,47.58,6.46,-2.03,7.36,-1.18,1.36,1.92,40.301525,-3.837834,3/3/2025 17:14:9
589602,SensorData,21.28,938.92,638.13,47.58,6.44,-1.94,7.38,-1.01,1.94,2.11,40.301525,-3.837834,3/3/2025 17:14:9
589666,SensorData,21.28,938.94,637.92,47.61,6.36,-2.05,7.37,-1.27,1.72,1.91,40.301525,-3.837834,3/3/2025 17:14:9
589722,SensorData,21.29,938.96,637.71,47.60,6.42,-1.99,7.40,-1.14,2.01,2.20,40.301525,-3.837834,3/3/2025 17:14:9
589796,SensorData,21.29,938.98,637.56,47.63,6.42,-2.09,7.41,-1.18,1.90,2.11,40.301525,-3.837834,3/3/2025 17:14:9
589830,SensorData,21.27,938.95,637.73,47.31,6.36,-2.08,7.33,-1.21,2.18,2.15,40.301525,-3.837834,3/3/2025 17:14:9
589884,SensorData,21.28,938.96,637.73,47.31,6.38,-1.99,7.44,-1.21,2.11,2.07,40.301525,-3.837834,3/3/2025 17:14:9
590247,SensorData,21.27,938.93,637.99,47.67,6.42,-2.01,7.44,-1.19,2.16,1.91,40.301563,-3.837862,3/3/2025 17:14:10
590283,SensorData,21.27,938.93,637.96,47.55,6.42,-2.00,7.43,-1.21,2.24,2.30,40.301563,-3.837862,3/3/2025 17:14:10
590367,SensorData,21.28,938.98,637.59,47.54,6.40,-2.09,7.60,-1.04,1.66,1.96,40.301563,-3.837862,3/3/2025 17:14:10
590411,SensorData,21.28,938.97,637.62,47.90,5.96,-2.26,7.22,-0.71,-1.02,1.55,40.301563,-3.837862,3/3/2025 17:14:10
590465,SensorData,21.26,938.96,637.77,47.93,6.40,-1.81,7.19,-0.66,5.78,2.89,40.301563,-3.837862,3/3/2025 17:14:10
590531,SensorData,21.27,938.94,637.90,47.93,6.66,-1.94,7.07,-1.24,1.99,2.08,40.301563,-3.837862,3/3/2025 17:14:10
590605,SensorData,21.27,938.91,638.15,47.96,6.46,-1.85,7.08,-1.12,0.80,2.12,40.301563,-3.837862,3/3/2025 17:14:10
590659,SensorData,21.27,938.94,637.90,48.03,6.56,-2.04,7.11,-1.11,1.69,2.05,40.301563,-3.837862,3/3/2025 17:14:10
590723,SensorData,21.27,938.94,637.95,48.03,6.46,-1.91,7.27,-1.28,0.89,2.03,40.301563,-3.837862,3/3/2025 17:14:10
590797,SensorData,21.27,938.95,637.81,48.08,6.50,-1.97,7.23,-1.11,1.30,1.96,40.301563,-3.837862,3/3/2025 17:14:10
590833,SensorData,21.27,938.92,638.04,48.08,6.45,-1.86,7.41,-1.05,2.65,2.33,40.301563,-3.837862,3/3/2025 17:14:10
590887,SensorData,21.26,938.92,638.09,48.09,6.45,-2.23,7.61,-1.04,2.02,1.93,40.301563,-3.837862,3/3/2025 17:14:10
591250,SensorData,21.27,938.93,638.01,48.12,6.51,-1.95,7.45,-1.20,2.14,2.21,40.301567,-3.837875,3/3/2025 17:14:11
591284,SensorData,21.27,938.96,637.77,48.23,6.35,-1.93,7.34,-0.95,2.37,2.04,40.301567,-3.837875,3/3/2025 17:14:11
591360,SensorData,21.27,938.94,637.87,48.24,6.48,-2.02,7.35,-1.18,2.17,2.11,40.301567,-3.837875,3/3/2025 17:14:11
591414,SensorData,21.28,938.95,637.84,48.26,6.35,-1.99,7.45,-1.05,2.18,2.11,40.301567,-3.837875,3/3/2025 17:14:11
591468,SensorData,21.26,938.94,637.87,48.29,6.39,-2.05,7.58,-1.29,2.31,2.13,40.301567,-3.837875,3/3/2025 17:14:11
591532,SensorData,21.27,938.92,638.08,48.32,6.26,-1.96,7.52,-1.21,2.82,1.98,40.301567,-3.837875,3/3/2025 17:14:11
591598,SensorData,21.26,938.92,638.11,48.30,6.32,-1.99,7.54,-1.21,2.62,2.18,40.301567,-3.837875,3/3/2025 17:14:11
591662,SensorData,21.28,938.99,637.51,48.36,6.29,-2.03,7.50,-1.03,2.36,2.14,40.301567,-3.837875,3/3/2025 17:14:11
591726,SensorData,21.28,938.99,637.50,48.41,6.38,-1.97,7.48,-1.11,2.07,2.12,40.301567,-3.837875,3/3/2025 17:14:11
591732,[INFO] Apogee detected at 638.15 m
591795,SensorData,21.27,938.98,637.68,48.58,6.43,-2.04,7.40,-1.07,1.87,2.03,40.301567,-3.837875,3/3/2025 17:14:11
591829,SensorData,21.26,938.97,637.67,48.45,6.39,-1.98,7.43,-1.37,1.85,1.89,40.301567,-3.837875,3/3/2025 17:14:11
591885,SensorData,21.27,938.97,637.62,48.50,6.41,-1.98,7.45,-0.95,2.52,2.28,40.301567,-3.837875,3/3/2025 17:14:11
592248,SensorData,21.27,938.94,637.91,48.54,6.39,-2.01,7.48,-1.00,2.35,2.02,40.301582,-3.837867,3/3/2025 17:14:12
592282,SensorData,21.27,938.97,637.64,48.66,6.39,-1.95,7.49,-1.11,2.31,2.05,40.301582,-3.837867,3/3/2025 17:14:12
592366,SensorData,21.27,938.98,637.56,48.69,6.44,-2.02,7.48,-1.06,2.19,2.17,40.301582,-3.837867,3/3/2025 17:14:12
592412,SensorData,21.27,938.94,637.89,48.70,6.38,-1.98,7.51,-0.89,2.25,2.15,40.301582,-3.837867,3/3/2025 17:14:12
592466,SensorData,21.28,938.96,637.69,48.54,6.39,-2.02,7.41,-1.11,2.04,2.21,40.301582,-3.837867,3/3/2025 17:14:12
592530,SensorData,21.26,938.92,638.06,48.75,6.40,-1.99,7.48,-1.05,2.05,2.15,40.301582,-3.837867,3/3/2025 17:14:12
592604,SensorData,21.26,938.93,637.96,48.71,6.44,-2.00,7.40,-1.11,2.21,2.07,40.301582,-3.837867,3/3/2025 17:14:12
592660,SensorData,21.28,938.98,637.59,48.74,6.39,-1.98,7.36,-1.13,2.17,1.92,40.301582,-3.837867,3/3/2025 17:14:12
592724,SensorData,21.25,938.94,637.92,48.76,6.42,-1.97,7.44,-1.17,2.28,2.27,40.301582,-3.837867,3/3/2025 17:14:12
592798,SensorData,21.28,938.98,637.57,48.76,6.37,-2.01,7.44,-0.89,2.19,2.03,40.301582,-3.837867,3/3/2025 17:14:12
